dataset,emotion,support,rerata,sd,min,maks
ravdess,Angry,24,0.6457,0.0404,0.6122,0.6977
ravdess,Disgust,24,0.6994,0.075,0.6111,0.8182
ravdess,Fear,24,0.2567,0.071,0.1935,0.3636
ravdess,Happy,24,0.3886,0.0579,0.3103,0.4561
ravdess,Neutral,12,0.3988,0.0654,0.3333,0.4878
ravdess,Sad,24,0.3483,0.0822,0.24,0.4444
ravdess,Surprise,24,0.5248,0.0663,0.4167,0.5862
savee,Angry,15,0.394,0.0904,0.2857,0.5
savee,Disgust,15,0.2787,0.1122,0.1111,0.381
savee,Fear,15,0.2512,0.1167,0.0909,0.3871
savee,Happy,15,0.4341,0.1174,0.3,0.5714
savee,Neutral,30,0.7246,0.1041,0.6154,0.8657
savee,Sad,15,0.3548,0.1225,0.1818,0.5238
savee,Surprise,15,0.4486,0.1594,0.2105,0.6
tess,Angry,60,0.9983,0.0038,0.9916,1.0
tess,Disgust,60,0.9966,0.0046,0.9916,1.0
tess,Fear,60,0.9983,0.0037,0.9917,1.0
tess,Happy,60,1.0,0.0,1.0,1.0
tess,Neutral,60,0.9983,0.0037,0.9917,1.0
tess,Sad,60,1.0,0.0,1.0,1.0
tess,Surprise,61,0.9984,0.0036,0.9919,1.0
